GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
PDK4	0.08	0.008	0.208	0.008	0.048	0.02	0.004	0.016	0.14	0.028	0.116	0.028	0.02	0.024	0.016	0.016	0.008	0.012	0.084	0.012	0.18	0.14	0.012	0.012	0.096	0.016	0.356	0.036	0.028	0.008	0.012	0.024	0.02	0.032	0.02	0	0.004	0.008	0.012	0.012
CCL26	0.052	0	0.108	0.036	0.004	0.02	0.004	0.004	0.24	0.04	0.108	0.016	0.012	0.008	0.008	0.016	0	0.02	0.012	0.004	0.048	0.04	0.004	0.008	0.092	0	0.388	0.036	0.004	0.024	0.004	0.016	0.008	0.012	0.016	0.024	0.008	0.004	0.008	0
CX3CL1	0.024	0	0.176	0	0.02	0.008	0.004	0.016	0.2	0.004	0.132	0.004	0.012	0.016	0.016	0	0	0.004	0.008	0	0.076	0.072	0.004	0	0.116	0	0.36	0.02	0.004	0.016	0	0	0.008	0.016	0.02	0.008	0	0	0	0
CD4	0.412	0.008	1.02	0	0.016	0.04	0.008	0.024	1.24	0.024	0.872	0.036	0.044	0.028	0.008	0.012	0.02	0.012	0.112	0.016	1.12	0.684	0.016	0.016	0.368	0.016	1.72	0.056	0.044	0.064	0.02	0.016	0.064	0.032	0.02	0.02	0.004	0.012	0.02	0.016
SNAI2	0.024	0	0.128	0	0.008	0	0	0.008	0.152	0.004	0.092	0.016	0.02	0	0.008	0	0	0.02	0.012	0.004	0.108	0.088	0.004	0.004	0.036	0.016	0.156	0.032	0	0.02	0.012	0.004	0.016	0.012	0.012	0	0	0.008	0.016	0.008
TNFRSF17	0.044	0	0.036	0	0	0.008	0.004	0	0.076	0.004	0.124	0.012	0	0.008	0.008	0	0.004	0.004	0	0	0.06	0.04	0.008	0	0.016	0	0.164	0.004	0	0.004	0	0.02	0.008	0.004	0.004	0.004	0	0	0.004	0
ICAM3	0.052	0.004	0.072	0.004	0.008	0.004	0	0	0.104	0.004	0.188	0.016	0.012	0.004	0.004	0.004	0	0	0.016	0	0.104	0.072	0	0	0.036	0.008	0.176	0.024	0	0.016	0	0.008	0.012	0.008	0.008	0.004	0	0.008	0.004	0
FAP	0.076	0.004	0.268	0.004	0.008	0.008	0.004	0.004	0.264	0.012	0.092	0.012	0.02	0.004	0.004	0.004	0	0.016	0.084	0.012	0.184	0.076	0	0	0.072	0	0.6	0.024	0.008	0.012	0.008	0.004	0.012	0	0.004	0.008	0.008	0.004	0.004	0
NFKB2	0.4	0.004	1.22	0.016	0.06	0.016	0.028	0.024	0.664	0.044	0.636	0.044	0.04	0.04	0.024	0.036	0.016	0.032	0.112	0.032	0.504	0.504	0.004	0.028	0.216	0.02	0.904	0.04	0.008	0.032	0.004	0.036	0.028	0.012	0.02	0.012	0.032	0.012	0.024	0.024
LAG3	0.008	0	0.124	0.004	0.004	0	0	0	0.048	0.004	0.056	0.028	0	0	0.008	0.004	0.004	0	0.016	0	0.056	0.048	0.004	0.004	0.012	0.004	0.104	0.004	0	0.008	0.004	0	0.004	0.004	0.004	0.004	0	0	0.012	0.004
TGFBR3	0.04	0	0.068	0	0.004	0.004	0	0.008	0.604	0	0.068	0.012	0.032	0.012	0.004	0	0.004	0	0.02	0	0.032	0.028	0	0	0.112	0	0.384	0.02	0.008	0.012	0	0.004	0.016	0.016	0.024	0.004	0	0.004	0	0.004
MMP11	0.356	0.004	0.88	0	0.052	0.028	0.008	0.016	1.304	0	0.868	0.064	0.028	0.02	0.044	0.004	0	0.032	0.32	0.012	0.668	1.308	0.012	0	0.2	0.012	1.088	0.028	0.044	0.008	0.02	0.004	0.152	0.012	0.008	0.008	0.008	0.012	0.024	0.004
XBP1	0.636	0.04	1.528	0.016	0.04	0.052	0.004	0.04	1.44	0.024	1.48	0.072	0.072	0.064	0.04	0.016	0.012	0.052	0.336	0.016	1.14	0.904	0.032	0.012	0.456	0.04	2.016	0.088	0.052	0.06	0.048	0.036	0.148	0.06	0.048	0.04	0.012	0.024	0.048	0.024
IL2RB	0.02	0.012	0.036	0	0	0	0.004	0	0.072	0	0.032	0.004	0.008	0	0	0.004	0	0	0.004	0	0.008	0.024	0	0	0.012	0	0.072	0	0	0.004	0	0	0	0	0	0	0	0	0	0
CTSG	0.028	0.004	0.108	0	0.004	0	0	0	0.032	0	0.06	0.004	0	0	0	0	0	0	0.012	0	0.048	0.032	0	0	0.028	0.004	0.076	0.012	0	0	0.008	0.008	0.004	0.004	0.004	0	0	0	0	0
GZMH	0.012	0	0.044	0	0	0	0	0.004	0.04	0.004	0.04	0	0	0	0	0	0.004	0	0.02	0.004	0.028	0.016	0	0	0.004	0	0.084	0	0.004	0	0	0	0	0	0	0	0	0	0.004	0
GZMB	0.004	0	0.064	0	0	0	0	0	0.028	0.008	0.076	0	0.004	0	0	0.004	0	0	0.008	0	0.024	0.036	0	0	0	0.004	0.02	0.004	0	0	0	0	0	0.004	0	0.004	0.004	0	0	0.004
