"pip.1"	"pip.2"
"1"	0.24	0.29
"2"	0.17	0.17
"3"	0.58	0.4
"4"	0.31	0.36
"5"	0.27	0.27
"6"	0.49	0.5
"7"	0.04	0.27
"8"	0.07	0.05
"9"	0.2	0.53
"10"	0.73	0.82
"11"	0.53	0.41
"12"	0.1	0.2
"13"	0.28	0.23
"14"	0.19	0.17
"15"	0.35	0.29
"16"	0.53	0.56
"17"	0.39	0.37
"18"	0.06	0.16
"19"	0.55	0.46
"20"	0.56	0.41
"21"	0.01	0.04
"22"	0.24	0.32
"23"	0.03	0.02
"24"	0.94	0.77
"25"	0.44	0.36
"26"	0.18	0.2
"27"	0.23	0.48
"28"	0.77	0.58
"29"	0.08	0.17
"30"	0.28	0.32
"31"	0.07	0.15
"32"	0.82	0.63
"33"	0.2	0.22
"34"	0.28	0.44
"35"	0.2	0.16
"36"	0.08	0.1
"37"	0.43	0.36
"38"	0.68	0.58
"39"	0.65	0.47
"40"	0.56	0.5
"41"	0.18	0.41
"42"	0.29	0.42
"43"	0.84	0.68
"44"	0.94	0.82
"45"	0.95	0.81
"46"	0.09	0.17
"47"	0.13	0.14
"48"	0.9	0.63
"49"	0.07	0.14
"50"	0.49	0.32
"51"	0.08	0.08
"52"	0.27	0.33
"53"	0.1	0.04
"54"	0.61	0.45
"55"	0.86	0.81
"56"	0.18	0.13
"57"	0.1	0.21
"58"	0.91	0.73
"59"	0.22	0.22
"60"	0.4	0.57
"61"	0.48	0.62
"62"	0.12	0.27
"63"	0.3	0.22
"64"	0.28	0.27
"65"	0.1	0.06
"66"	0.53	0.39
"67"	0.51	0.55
"68"	0.93	0.79
"69"	0.96	0.73
"70"	0.63	0.36
"71"	0.75	0.7
"72"	0.98	0.99
"73"	0.36	0.61
"74"	0.25	0.25
"75"	0.12	0.2
"76"	0.22	0.1
"77"	0.96	0.68
"78"	0.36	0.41
"79"	0.1	0.13
"80"	0.11	0.2
"81"	0.07	0.06
"82"	0.12	0.24
"83"	0.13	0.23
"84"	0.53	0.51
"85"	0.14	0.18
"86"	0.19	0.16
"87"	0.29	0.44
"88"	0.87	0.86
"89"	0.5	0.28
"90"	0.55	0.44
"91"	0.41	0.39
"92"	0.75	0.51
"93"	0.14	0.22
"94"	0.16	0.11
"95"	0.16	0.11
"96"	0.86	0.67
"97"	0.27	0.19
"98"	0.56	0.5
"99"	0.05	0.2
"100"	0.79	0.88
"101"	0.1	0.18
"102"	0.51	0.51
"103"	0.56	0.4
"104"	0.33	0.41
"105"	0.76	0.55
"106"	0.27	0.27
"107"	0.39	0.28
"108"	0.5	0.48
"109"	0.1	0.31
"110"	0.12	0.12
"111"	0.18	0.36
"112"	0.06	0.17
"113"	0.16	0.28
"114"	0.15	0.24
"115"	0.21	0.15
"116"	0.12	0.17
"117"	0.12	0.09
"118"	0.43	0.28
"119"	0.37	0.24
"120"	0.65	0.75
"121"	0.05	0.11
"122"	0.55	0.59
"123"	0.35	0.4
"124"	0.36	0.55
"125"	0.07	0.12
"126"	0	0
"127"	0.04	0.15
"128"	0.53	0.54
"129"	0.57	0.44
"130"	0.3	0.15
"131"	0.21	0.27
"132"	0.12	0.08
"133"	0.38	0.52
"134"	0.94	0.94
"135"	0.59	0.52
"136"	0.45	0.44
"137"	0.43	0.4
"138"	0.17	0.09
"139"	0.82	0.68
"140"	0.24	0.28
"141"	0.19	0.27
"142"	0.06	0.05
"143"	0.11	0.06
"144"	0.86	0.69
"145"	0.71	0.44
"146"	0.7	0.51
"147"	0.41	0.31
"148"	0.3	0.34
"149"	0.55	0.43
"150"	0.55	0.47
"151"	0.79	0.64
"152"	0.12	0.2
"153"	0.27	0.3
"154"	0.17	0.45
"155"	0.96	0.68
"156"	0.37	0.42
"157"	0.75	0.4
"158"	0.16	0.1
"159"	0.68	0.55
"160"	0.49	0.75
"161"	0.12	0.13
"162"	0.12	0.24
"163"	0.93	0.72
"164"	0.82	0.61
"165"	0.55	0.42
"166"	0.34	0.4
"167"	0.01	0.01
"168"	0.38	0.3
"169"	0.28	0.4
"170"	0.09	0.26
"171"	0.63	0.74
"172"	0.72	0.46
"173"	0.03	0.11
"174"	0.07	0.19
"175"	0.99	0.81
"176"	0.95	0.75
"177"	0.99	0.98
"178"	0.43	0.4
"179"	0.88	0.73
"180"	0.24	0.25
"181"	0.11	0.06
"182"	0.25	0.33
"183"	0.53	0.45
"184"	0.47	0.56
"185"	0.67	0.55
"186"	0.85	0.59
"187"	0.9	0.84
"188"	0.86	0.67
"189"	0.12	0.34
"190"	0.78	0.52
"191"	0.56	0.51
"192"	0.17	0.22
"193"	0.24	0.39
"194"	0.83	0.57
"195"	0.12	0.32
"196"	0.71	0.61
"197"	0.37	0.41
"198"	0.05	0.03
"199"	0.24	0.17
"200"	0.1	0.28
"201"	1	0.76
"202"	0.11	0.16
"203"	0.27	0.23
"204"	0.96	0.89
"205"	0.49	0.6
"206"	0.78	0.58
"207"	0.26	0.37
"208"	0.88	0.74
"209"	0.51	0.41
"210"	0.43	0.32
"211"	0.11	0.24
"212"	0.1	0.16
"213"	0.42	0.39
"214"	0.07	0.21
"215"	0.53	0.48
"216"	0.53	0.53
"217"	0.21	0.24
"218"	0.06	0.2
"219"	0.63	0.53
"220"	0.96	0.84
"221"	0.74	0.67
"222"	0.07	0.12
"223"	0.26	0.35
"224"	0.28	0.27
"225"	0.11	0.26
"226"	0.07	0.12
"227"	0.11	0.18
"228"	0.18	0.26
"229"	0.28	0.25
"230"	0.4	0.44
"231"	0.23	0.29
"232"	0.14	0.16
"233"	0.11	0.19
"234"	0.13	0.22
"235"	0.22	0.16
"236"	0.11	0.06
"237"	0.56	0.7
"238"	0.38	0.29
"239"	0.08	0.08
"240"	0.52	0.39
"241"	0.05	0.14
"242"	0.8	0.69
"243"	0.54	0.68
"244"	0.33	0.24
"245"	0.24	0.26
"246"	0.25	0.16
"247"	0.29	0.3
"248"	0.92	0.77
"249"	0.99	0.6
"250"	0.95	0.82
"251"	0.05	0.17
"252"	0.18	0.09
"253"	0.18	0.28
"254"	0.06	0.43
"255"	0.3	0.16
"256"	0.65	0.45
"257"	0.93	0.69
"258"	0.4	0.41
"259"	0.14	0.21
"260"	0.33	0.42
"261"	0.25	0.32
"262"	0.13	0.27
"263"	0.24	0.29
"264"	0.81	0.65
"265"	0.17	0.16
"266"	0.3	0.26
"267"	0.12	0.19
"268"	0.94	0.8
"269"	0.85	0.91
"270"	0.96	0.93
"271"	0.27	0.25
"272"	0.39	0.54
"273"	0.15	0.18
"274"	0.47	0.57
"275"	0.6	0.62
"276"	0.47	0.49
"277"	1	0.77
"278"	0.14	0.04
"279"	0.13	0.16
"280"	0.4	0.22
"281"	0.32	0.35
"282"	0.74	0.63
"283"	0.93	0.78
"284"	0.81	0.71
"285"	0.25	0.45
"286"	0.87	0.91
"287"	0.28	0.27
"288"	0.54	0.45
"289"	0.16	0.07
"290"	0.1	0.09
"291"	0.92	0.78
"292"	0.35	0.44
"293"	0.45	0.39
"294"	0.7	0.64
"295"	0.4	0.56
"296"	0.24	0.31
"297"	0.23	0.38
"298"	0.63	0.5
"299"	0.88	0.54
"300"	0.21	0.51
"301"	0.98	0.82
"302"	0.56	0.42
"303"	0.21	0.38
"304"	0.09	0.26
"305"	0.61	0.57
"306"	0.21	0.08
"307"	0.38	0.35
"308"	0.48	0.32
"309"	0.08	0.1
"310"	0.29	0.3
"311"	0.02	0.03
"312"	0.03	0.09
"313"	0.98	0.65
"314"	0.28	0.41
"315"	0.27	0.26
"316"	0.1	0.23
"317"	0.16	0.14
"318"	0.51	0.62
"319"	0.67	0.83
"320"	0.8	0.66
"321"	0.65	0.57
"322"	0.95	0.74
"323"	0.26	0.31
"324"	0.06	0.02
"325"	0.15	0.18
"326"	0.7	0.82
"327"	0.35	0.45
"328"	0.09	0.17
"329"	0.93	0.58
"330"	0.3	0.2
"331"	0.2	0.16
"332"	0.33	0.43
"333"	0.35	0.49
"334"	0.7	0.64
"335"	0.17	0.53
"336"	0.09	0.16
"337"	0.03	0.21
"338"	0.07	0.14
"339"	0.32	0.33
"340"	0.84	0.69
"341"	0.71	0.62
"342"	0.82	0.55
"343"	0.81	0.54
"344"	0.15	0.02
"345"	0.32	0.34
"346"	0.13	0.31
"347"	0.99	0.9
"348"	0.5	0.46
"349"	0.24	0.2
"350"	0.25	0.56
"351"	0.69	0.4
"352"	0.12	0.11
"353"	0.78	0.45
"354"	0.94	0.85
"355"	0.15	0.4
"356"	0.98	0.78
"357"	0.17	0.16
"358"	0.84	0.7
"359"	0.64	0.78
"360"	0.09	0.14
"361"	0.15	0.13
"362"	0.07	0.26
"363"	0.39	0.3
"364"	0.08	0.1
"365"	0.33	0.29
"366"	0.75	0.66
"367"	0.84	0.61
"368"	0.55	0.46
"369"	0.19	0.5
"370"	0.07	0.2
"371"	0.22	0.25
"372"	0.13	0.19
"373"	0.72	0.47
"374"	0.88	0.77
"375"	0.83	0.48
"376"	0.45	0.36
"377"	0.59	0.52
"378"	0.23	0.36
"379"	0.38	0.16
"380"	0.41	0.45
"381"	0.11	0.14
"382"	0.87	0.61
"383"	0.7	0.69
"384"	0.25	0.1
"385"	0.41	0.54
"386"	0.89	0.72
"387"	0.29	0.21
"388"	0.14	0.07
"389"	0.46	0.39
"390"	0.78	0.81
"391"	0.81	0.68
"392"	0.23	0.32
"393"	0.56	0.56
"394"	0.94	0.57
"395"	0.44	0.42
"396"	0.06	0.11
"397"	0.09	0.2
"398"	0.79	0.59
"399"	0.19	0.24
"400"	0.34	0.6
"401"	0.46	0.34
"402"	0.85	0.92
"403"	0.8	0.75
"404"	0.17	0.17
"405"	0.11	0.22
"406"	0.07	0.17
"407"	0.07	0.13
"408"	0.69	0.42
"409"	0.14	0.24
"410"	0.67	0.45
"411"	0.31	0.14
"412"	0.75	0.65
"413"	0.21	0.19
"414"	0.24	0.24
"415"	0.76	0.52
"416"	0.87	0.45
"417"	0.71	0.64
"418"	0.52	0.5
"419"	0.98	0.82
"420"	0.61	0.51
"421"	0.06	0.07
"422"	0.98	0.86
"423"	0.61	0.71
"424"	0.21	0.26
"425"	0.17	0.28
"426"	0.16	0.21
"427"	0.08	0.13
"428"	0.66	0.56
"429"	0.22	0.32
"430"	0.47	0.28
"431"	0.12	0.08
"432"	0.15	0.28
"433"	0.17	0.18
"434"	0.16	0.2
"435"	0.07	0.15
"436"	0.28	0.43
"437"	0.63	0.66
"438"	0.04	0.14
"439"	0.25	0.32
"440"	0.51	0.73
"441"	0.17	0.3
"442"	0.1	0.14
"443"	0.3	0.24
"444"	0.22	0.33
"445"	0.17	0.24
"446"	0.94	0.83
"447"	0.76	0.5
"448"	0.24	0.2
"449"	0.91	0.51
"450"	0.26	0.19
"451"	0.72	0.81
"452"	0.2	0.21
"453"	0.37	0.37
"454"	0.28	0.35
"455"	0.13	0.16
"456"	0.18	0.23
"457"	0.76	0.64
"458"	0.26	0.26
"459"	0.1	0.11
"460"	0.47	0.43
"461"	0.23	0.24
"462"	0.22	0.5
"463"	0.55	0.7
"464"	0.09	0.37
"465"	0.19	0.19
"466"	0.22	0.25
"467"	0.39	0.36
"468"	0.15	0.16
"469"	0.18	0.16
"470"	0.31	0.35
"471"	0.11	0.07
"472"	0.19	0.17
"473"	0.22	0.23
"474"	0.78	0.65
